# Attempt at a cleaner version of the kidney cancer data from section 2.7 of Bayesian Data Analysis, 3rd edition (Gelman et al.)
# Based on http://www.stat.columbia.edu/~gelman/book/data/cancer/
# Columns 4 to 12 correspond to 1980-84; columns 13 to 21 to 1985-89
# Robin Ryder, 12 September 2019
"","state","Location","fips","dc","dcV","pop","popV","aadc","aadcV","dcC","dcCV","good","dc.2","dcV.2","pop.2","popV.2","aadc.2","aadcV.2","dcC.2","dcCV.2","good.2"
"1736","ILLINOIS","McHenry County, Illinois",17111,23,"VALID",371583,"VALID",7.6,"VALID",6.2,"VALID",1,18,"VALID",410493,"VALID",5.5,"UNRELIABLE",4.4,"UNRELIABLE",1
"1745","ILLINOIS","McLean County, Illinois",17113,8,"VALID",273229,"VALID",3.5,"UNRELIABLE",2.9,"UNRELIABLE",1,12,"VALID",280942,"VALID",5.1,"UNRELIABLE",4.3,"UNRELIABLE",1
"1868","ILLINOIS","Menard County, Illinois",17129,3,"VALID",28162,"VALID",10.6,"UNRELIABLE",10.7,"UNRELIABLE",1,0,"VALID",27355,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"1875","ILLINOIS","Mercer County, Illinois",17131,0,"VALID",47118,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,2,"VALID",43447,"VALID",3.9,"UNRELIABLE",4.6,"UNRELIABLE",1
"1938","ILLINOIS","Monroe County, Illinois",17133,2,"VALID",49522,"VALID",3.5,"UNRELIABLE",4,"UNRELIABLE",1,2,"VALID",51991,"VALID",3.7,"UNRELIABLE",3.8,"UNRELIABLE",1
"1958","ILLINOIS","Montgomery County, Illinois",17135,10,"VALID",77006,"VALID",9.5,"UNRELIABLE",13,"UNRELIABLE",1,7,"VALID",75055,"VALID",7.9,"UNRELIABLE",9.3,"UNRELIABLE",1
"1985","ILLINOIS","Morgan County, Illinois",17137,1,"VALID",85478,"VALID",1.1,"UNRELIABLE",1.2,"UNRELIABLE",1,5,"VALID",84262,"VALID",5.2,"UNRELIABLE",5.9,"UNRELIABLE",1
"2003","ILLINOIS","Moultrie County, Illinois",17139,1,"VALID",34767,"VALID",1.2,"UNRELIABLE",2.9,"UNRELIABLE",1,2,"VALID",33643,"VALID",6.1,"UNRELIABLE",5.9,"UNRELIABLE",1
"2094","ILLINOIS","Ogle County, Illinois",17141,3,"VALID",112717,"VALID",2.5,"UNRELIABLE",2.7,"UNRELIABLE",1,10,"VALID",110899,"VALID",8.1,"UNRELIABLE",9,"UNRELIABLE",1
"2199","ILLINOIS","Peoria County, Illinois",17143,19,"VALID",415273,"VALID",4.3,"UNRELIABLE",4.6,"UNRELIABLE",1,20,"VALID",376516,"VALID",4.4,"VALID",5.3,"VALID",1
"2206","ILLINOIS","Perry County, Illinois",17145,1,"VALID",51833,"VALID",1.8,"UNRELIABLE",1.9,"UNRELIABLE",1,6,"VALID",51352,"VALID",9,"UNRELIABLE",11.7,"UNRELIABLE",1
"2226","ILLINOIS","Piatt County, Illinois",17147,1,"VALID",40315,"VALID",2.4,"UNRELIABLE",2.5,"UNRELIABLE",1,1,"VALID",38533,"VALID",2.5,"UNRELIABLE",2.6,"UNRELIABLE",1
"2240","ILLINOIS","Pike County, Illinois",17149,1,"VALID",45525,"VALID",1.1,"UNRELIABLE",2.2,"UNRELIABLE",1,3,"VALID",43181,"VALID",3.7,"UNRELIABLE",6.9,"UNRELIABLE",1
"2287","ILLINOIS","Pope County, Illinois",17151,1,"VALID",10723,"VALID",5.9,"UNRELIABLE",9.3,"UNRELIABLE",1,1,"VALID",10631,"VALID",5.9,"UNRELIABLE",9.4,"UNRELIABLE",1
"2325","ILLINOIS","Pulaski County, Illinois",17153,1,"VALID",13936,"VALID",4.7,"UNRELIABLE",7.2,"UNRELIABLE",1,0,"VALID",12653,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"2333","ILLINOIS","Putnam County, Illinois",17155,1,"VALID",15152,"VALID",7.3,"UNRELIABLE",6.6,"UNRELIABLE",1,1,"VALID",14397,"VALID",5.3,"UNRELIABLE",6.9,"UNRELIABLE",1
"2357","ILLINOIS","Randolph County, Illinois",17157,4,"VALID",84433,"VALID",4.7,"UNRELIABLE",4.7,"UNRELIABLE",1,10,"VALID",82035,"VALID",10.4,"UNRELIABLE",12.2,"UNRELIABLE",1
"2389","ILLINOIS","Richland County, Illinois",17159,1,"VALID",43584,"VALID",1.7,"UNRELIABLE",2.3,"UNRELIABLE",1,3,"VALID",40714,"VALID",6.7,"UNRELIABLE",7.4,"UNRELIABLE",1
"2429","ILLINOIS","Rock Island County, Illinois",17161,19,"VALID",372229,"VALID",4.9,"UNRELIABLE",5.1,"UNRELIABLE",1,30,"VALID",340988,"VALID",7.9,"VALID",8.8,"VALID",1
"2468","ILLINOIS","Saint Clair County, Illinois",17163,26,"VALID",465251,"VALID",5.4,"VALID",5.6,"VALID",1,32,"VALID",464150,"VALID",6.6,"VALID",6.9,"VALID",1
"2494","ILLINOIS","Saline County, Illinois",17165,2,"VALID",65002,"VALID",1.7,"UNRELIABLE",3.1,"UNRELIABLE",1,4,"VALID",62396,"VALID",4.2,"UNRELIABLE",6.4,"UNRELIABLE",1
"2510","ILLINOIS","Sangamon County, Illinois",17167,19,"VALID",382448,"VALID",4.8,"UNRELIABLE",5,"UNRELIABLE",1,20,"VALID",380783,"VALID",4.8,"VALID",5.3,"VALID",1
"2543","ILLINOIS","Schuyler County, Illinois",17169,1,"VALID",19999,"VALID",2.9,"UNRELIABLE",5,"UNRELIABLE",1,1,"VALID",18487,"VALID",5,"UNRELIABLE",5.4,"UNRELIABLE",1
"2551","ILLINOIS","Scott County, Illinois",17171,2,"VALID",14586,"VALID",11.1,"UNRELIABLE",13.7,"UNRELIABLE",1,1,"VALID",13836,"VALID",6.6,"UNRELIABLE",7.2,"UNRELIABLE",1
"2589","ILLINOIS","Shelby County, Illinois",17173,2,"VALID",58173,"VALID",3.4,"UNRELIABLE",3.4,"UNRELIABLE",1,2,"VALID",55757,"VALID",2.3,"UNRELIABLE",3.6,"UNRELIABLE",1
"2653","ILLINOIS","Stark County, Illinois",17175,1,"VALID",17462,"VALID",4.3,"UNRELIABLE",5.7,"UNRELIABLE",1,0,"VALID",16247,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"2665","ILLINOIS","Stephenson County, Illinois",17177,8,"VALID",112320,"VALID",6.3,"UNRELIABLE",7.1,"UNRELIABLE",1,9,"VALID",109156,"VALID",6.4,"UNRELIABLE",8.2,"UNRELIABLE",1
"2742","ILLINOIS","Tazewell County, Illinois",17179,13,"VALID",315604,"VALID",4.3,"UNRELIABLE",4.1,"UNRELIABLE",1,19,"VALID",296760,"VALID",6,"UNRELIABLE",6.4,"UNRELIABLE",1
"2826","ILLINOIS","Union County, Illinois",17181,5,"VALID",43807,"VALID",8.1,"UNRELIABLE",11.4,"UNRELIABLE",1,5,"VALID",43615,"VALID",7.4,"UNRELIABLE",11.5,"UNRELIABLE",1
"2862","ILLINOIS","Vermilion County, Illinois",17183,13,"VALID",207287,"VALID",5.4,"UNRELIABLE",6.3,"UNRELIABLE",1,18,"VALID",198348,"VALID",7.4,"UNRELIABLE",9.1,"UNRELIABLE",1
"2875","ILLINOIS","Wabash County, Illinois",17185,0,"VALID",33194,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,0,"VALID",32069,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"2902","ILLINOIS","Warren County, Illinois",17187,5,"VALID",51055,"VALID",8.7,"UNRELIABLE",9.8,"UNRELIABLE",1,1,"VALID",47105,"VALID",2.2,"UNRELIABLE",2.1,"UNRELIABLE",1
"2927","ILLINOIS","Washington County, Illinois",17189,2,"VALID",37390,"VALID",3.8,"UNRELIABLE",5.3,"UNRELIABLE",1,4,"VALID",36589,"VALID",8.2,"UNRELIABLE",10.9,"UNRELIABLE",1
"2961","ILLINOIS","Wayne County, Illinois",17191,2,"VALID",44374,"VALID",3.2,"UNRELIABLE",4.5,"UNRELIABLE",1,0,"VALID",42729,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"3009","ILLINOIS","White County, Illinois",17193,1,"VALID",43021,"VALID",1.2,"UNRELIABLE",2.3,"UNRELIABLE",1,2,"VALID",40723,"VALID",2.3,"UNRELIABLE",4.9,"UNRELIABLE",1
"3013","ILLINOIS","Whiteside County, Illinois",17195,3,"VALID",156273,"VALID",1.8,"UNRELIABLE",1.9,"UNRELIABLE",1,7,"VALID",147544,"VALID",4.1,"UNRELIABLE",4.7,"UNRELIABLE",1
"3031","ILLINOIS","Will County, Illinois",17197,25,"VALID",718663,"VALID",4.5,"VALID",3.5,"VALID",1,36,"VALID",743832,"VALID",6.5,"VALID",4.8,"VALID",1
"3036","ILLINOIS","Williamson County, Illinois",17199,5,"VALID",136350,"VALID",3.3,"UNRELIABLE",3.7,"UNRELIABLE",1,10,"VALID",136649,"VALID",5.9,"UNRELIABLE",7.3,"UNRELIABLE",1
"3048","ILLINOIS","Winnebago County, Illinois",17201,28,"VALID",550069,"VALID",5.3,"VALID",5.1,"VALID",1,32,"VALID",545257,"VALID",5.7,"VALID",5.9,"VALID",1
"3065","ILLINOIS","Woodford County, Illinois",17203,1,"VALID",81397,"VALID",1.3,"UNRELIABLE",1.2,"UNRELIABLE",1,4,"VALID",78499,"VALID",4.8,"UNRELIABLE",5.1,"UNRELIABLE",1
"12","INDIANA","Adams County, Indiana",18001,3,"VALID",73393,"VALID",4.4,"UNRELIABLE",4.1,"UNRELIABLE",1,5,"VALID",75223,"VALID",6.5,"UNRELIABLE",6.6,"UNRELIABLE",1
"45","INDIANA","Allen County, Indiana",18003,19,"VALID",632413,"VALID",3.3,"UNRELIABLE",3,"UNRELIABLE",1,30,"VALID",642103,"VALID",4.9,"VALID",4.7,"VALID",1
"139","INDIANA","Bartholomew County, Indiana",18005,10,"VALID",151680,"VALID",7.6,"UNRELIABLE",6.6,"UNRELIABLE",1,7,"VALID",149428,"VALID",4.9,"UNRELIABLE",4.7,"UNRELIABLE",1
"180","INDIANA","Benton County, Indiana",18007,2,"VALID",24301,"VALID",6.5,"UNRELIABLE",8.2,"UNRELIABLE",1,1,"VALID",23242,"VALID",4.3,"UNRELIABLE",4.3,"UNRELIABLE",1
"207","INDIANA","Blackford County, Indiana",18009,1,"VALID",36913,"VALID",2.6,"UNRELIABLE",2.7,"UNRELIABLE",1,1,"VALID",34884,"VALID",2.4,"UNRELIABLE",2.9,"UNRELIABLE",1
"231","INDIANA","Boone County, Indiana",18011,5,"VALID",88886,"VALID",5.9,"UNRELIABLE",5.6,"UNRELIABLE",1,4,"VALID",89714,"VALID",4.6,"UNRELIABLE",4.5,"UNRELIABLE",1
"281","INDIANA","Brown County, Indiana",18013,3,"VALID",31142,"VALID",9.1,"UNRELIABLE",9.6,"UNRELIABLE",1,1,"VALID",33105,"VALID",2.6,"UNRELIABLE",3,"UNRELIABLE",1
"392","INDIANA","Carroll County, Indiana",18015,3,"VALID",47656,"VALID",5.4,"UNRELIABLE",6.3,"UNRELIABLE",1,6,"VALID",45722,"VALID",11.9,"UNRELIABLE",13.1,"UNRELIABLE",1
"414","INDIANA","Cass County, Indiana",18017,5,"VALID",96027,"VALID",5,"UNRELIABLE",5.2,"UNRELIABLE",1,8,"VALID",93116,"VALID",7.7,"UNRELIABLE",8.6,"UNRELIABLE",1
"518","INDIANA","Clark County, Indiana",18019,12,"VALID",203855,"VALID",6.7,"UNRELIABLE",5.9,"UNRELIABLE",1,8,"VALID",199047,"VALID",4.3,"UNRELIABLE",4,"UNRELIABLE",1
"538","INDIANA","Clay County, Indiana",18021,5,"VALID",58822,"VALID",7.8,"UNRELIABLE",8.5,"UNRELIABLE",1,3,"VALID",58800,"VALID",5,"UNRELIABLE",5.1,"UNRELIABLE",1
"565","INDIANA","Clinton County, Indiana",18023,0,"VALID",75096,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,4,"VALID",73830,"VALID",5,"UNRELIABLE",5.4,"UNRELIABLE",1
"653","INDIANA","Crawford County, Indiana",18025,4,"VALID",24108,"VALID",14.1,"UNRELIABLE",16.6,"UNRELIABLE",1,2,"VALID",24659,"VALID",7.1,"UNRELIABLE",8.1,"UNRELIABLE",1
"718","INDIANA","Daviess County, Indiana",18027,6,"VALID",67658,"VALID",7.8,"UNRELIABLE",8.9,"UNRELIABLE",1,2,"VALID",66863,"VALID",2.8,"UNRELIABLE",3,"UNRELIABLE",1
"731","INDIANA","Dearborn County, Indiana",18029,6,"VALID",85090,"VALID",7.3,"UNRELIABLE",7.1,"UNRELIABLE",1,2,"VALID",89395,"VALID",2.3,"UNRELIABLE",2.2,"UNRELIABLE",1
"734","INDIANA","Decatur County, Indiana",18031,2,"VALID",57424,"VALID",3.3,"UNRELIABLE",3.5,"UNRELIABLE",1,6,"VALID",57353,"VALID",10.5,"UNRELIABLE",10.5,"UNRELIABLE",1
"743","INDIANA","DeKalb County, Indiana",18033,3,"VALID",80865,"VALID",3.9,"UNRELIABLE",3.7,"UNRELIABLE",1,1,"VALID",83794,"VALID",1.1,"UNRELIABLE",1.2,"UNRELIABLE",1
"746","INDIANA","Delaware County, Indiana",18035,13,"VALID",280631,"VALID",5.3,"UNRELIABLE",4.6,"UNRELIABLE",1,16,"VALID",268744,"VALID",6.1,"UNRELIABLE",6,"UNRELIABLE",1
"812","INDIANA","Dubois County, Indiana",18037,9,"VALID",85189,"VALID",11.2,"UNRELIABLE",10.6,"UNRELIABLE",1,7,"VALID",88456,"VALID",8.2,"UNRELIABLE",7.9,"UNRELIABLE",1
"854","INDIANA","Elkhart County, Indiana",18039,22,"VALID",321524,"VALID",7.6,"VALID",6.8,"VALID",1,10,"VALID",350120,"VALID",3.1,"UNRELIABLE",2.9,"UNRELIABLE",1
"906","INDIANA","Fayette County, Indiana",18041,2,"VALID",66408,"VALID",3.1,"UNRELIABLE",3,"UNRELIABLE",1,1,"VALID",62916,"VALID",1.3,"UNRELIABLE",1.6,"UNRELIABLE",1
"927","INDIANA","Floyd County, Indiana",18043,6,"VALID",143026,"VALID",4.5,"UNRELIABLE",4.2,"UNRELIABLE",1,10,"VALID",142996,"VALID",7.1,"UNRELIABLE",7,"UNRELIABLE",1
"944","INDIANA","Fountain County, Indiana",18045,2,"VALID",46002,"VALID",3.8,"UNRELIABLE",4.3,"UNRELIABLE",1,3,"VALID",43768,"VALID",5.5,"UNRELIABLE",6.9,"UNRELIABLE",1
"952","INDIANA","Franklin County, Indiana",18047,1,"VALID",48944,"VALID",2.6,"UNRELIABLE",2,"UNRELIABLE",1,1,"VALID",48447,"VALID",2.1,"UNRELIABLE",2.1,"UNRELIABLE",1
"986","INDIANA","Fulton County, Indiana",18049,3,"VALID",45822,"VALID",6.1,"UNRELIABLE",6.5,"UNRELIABLE",1,1,"VALID",44733,"VALID",2.2,"UNRELIABLE",2.2,"UNRELIABLE",1
"1025","INDIANA","Gibson County, Indiana",18051,3,"VALID",79801,"VALID",3.8,"UNRELIABLE",3.8,"UNRELIABLE",1,2,"VALID",76490,"VALID",2.2,"UNRELIABLE",2.6,"UNRELIABLE",1
"1071","INDIANA","Grant County, Indiana",18053,10,"VALID",176466,"VALID",5.5,"UNRELIABLE",5.7,"UNRELIABLE",1,15,"VALID",167816,"VALID",7.9,"UNRELIABLE",8.9,"UNRELIABLE",1
"1103","INDIANA","Greene County, Indiana",18055,3,"VALID",72257,"VALID",3.3,"UNRELIABLE",4.2,"UNRELIABLE",1,2,"VALID",72163,"VALID",1.9,"UNRELIABLE",2.8,"UNRELIABLE",1
"1150","INDIANA","Hamilton County, Indiana",18057,7,"VALID",204722,"VALID",4.8,"UNRELIABLE",3.4,"UNRELIABLE",1,8,"VALID",232515,"VALID",4.5,"UNRELIABLE",3.4,"UNRELIABLE",1
"1166","INDIANA","Hancock County, Indiana",18059,5,"VALID",107471,"VALID",6.2,"UNRELIABLE",4.7,"UNRELIABLE",1,4,"VALID",108003,"VALID",4.2,"UNRELIABLE",3.7,"UNRELIABLE",1
"1202","INDIANA","Harrison County, Indiana",18061,2,"VALID",68492,"VALID",3.1,"UNRELIABLE",2.9,"UNRELIABLE",1,4,"VALID",71468,"VALID",5.7,"UNRELIABLE",5.6,"UNRELIABLE",1
"1232","INDIANA","Hendricks County, Indiana",18063,5,"VALID",175141,"VALID",3.5,"UNRELIABLE",2.9,"UNRELIABLE",1,8,"VALID",180412,"VALID",5.6,"UNRELIABLE",4.4,"UNRELIABLE",1
"1239","INDIANA","Henry County, Indiana",18065,10,"VALID",122832,"VALID",7.9,"UNRELIABLE",8.1,"UNRELIABLE",1,8,"VALID",115687,"VALID",6.6,"UNRELIABLE",6.9,"UNRELIABLE",1
"1292","INDIANA","Howard County, Indiana",18067,7,"VALID",194028,"VALID",3.8,"UNRELIABLE",3.6,"UNRELIABLE",1,7,"VALID",185782,"VALID",3.7,"UNRELIABLE",3.8,"UNRELIABLE",1
"1313","INDIANA","Huntington County, Indiana",18069,3,"VALID",83169,"VALID",3.6,"UNRELIABLE",3.6,"UNRELIABLE",1,7,"VALID",83989,"VALID",6.9,"UNRELIABLE",8.3,"UNRELIABLE",1
"1357","INDIANA","Jackson County, Indiana",18071,6,"VALID",88488,"VALID",6.5,"UNRELIABLE",6.8,"UNRELIABLE",1,8,"VALID",88923,"VALID",8.4,"UNRELIABLE",9,"UNRELIABLE",1
"1378","INDIANA","Jasper County, Indiana",18073,4,"VALID",64500,"VALID",7.1,"UNRELIABLE",6.2,"UNRELIABLE",1,5,"VALID",61198,"VALID",8.6,"UNRELIABLE",8.2,"UNRELIABLE",1
"1384","INDIANA","Jay County, Indiana",18075,4,"VALID",54607,"VALID",6.8,"UNRELIABLE",7.3,"UNRELIABLE",1,2,"VALID",52394,"VALID",3.8,"UNRELIABLE",3.8,"UNRELIABLE",1
"1394","INDIANA","Jefferson County, Indiana",18077,5,"VALID",72839,"VALID",6.9,"UNRELIABLE",6.9,"UNRELIABLE",1,3,"VALID",69982,"VALID",4,"UNRELIABLE",4.3,"UNRELIABLE",1
"1416","INDIANA","Jennings County, Indiana",18079,2,"VALID",56398,"VALID",3.9,"UNRELIABLE",3.5,"UNRELIABLE",1,2,"VALID",57044,"VALID",3.1,"UNRELIABLE",3.5,"UNRELIABLE",1
"1428","INDIANA","Johnson County, Indiana",18081,5,"VALID",188752,"VALID",3.4,"UNRELIABLE",2.6,"UNRELIABLE",1,12,"VALID",200306,"VALID",6.7,"UNRELIABLE",6,"UNRELIABLE",1
"1510","INDIANA","Knox County, Indiana",18083,7,"VALID",100645,"VALID",6.3,"UNRELIABLE",7,"UNRELIABLE",1,5,"VALID",97590,"VALID",4.3,"UNRELIABLE",5.1,"UNRELIABLE",1
"1520","INDIANA","Kosciusko County, Indiana",18085,5,"VALID",145724,"VALID",3.6,"UNRELIABLE",3.4,"UNRELIABLE",1,9,"VALID",154408,"VALID",5.8,"UNRELIABLE",5.8,"UNRELIABLE",1
"1534","INDIANA","LaGrange County, Indiana",18087,2,"VALID",64980,"VALID",3.4,"UNRELIABLE",3.1,"UNRELIABLE",1,6,"VALID",70541,"VALID",10.1,"UNRELIABLE",8.5,"UNRELIABLE",1
"1539","INDIANA","Lake County, Indiana",18089,37,"VALID",938875,"VALID",4.1,"VALID",3.9,"VALID",1,50,"VALID",872056,"VALID",5.3,"VALID",5.7,"VALID",1
"1567","INDIANA","LaPorte County, Indiana",18091,13,"VALID",243578,"VALID",5.3,"UNRELIABLE",5.3,"UNRELIABLE",1,20,"VALID",240277,"VALID",7.9,"VALID",8.3,"VALID",1
"1588","INDIANA","Lawrence County, Indiana",18093,6,"VALID",100575,"VALID",5.5,"UNRELIABLE",6,"UNRELIABLE",1,4,"VALID",101029,"VALID",3.8,"UNRELIABLE",4,"UNRELIABLE",1
"1771","INDIANA","Madison County, Indiana",18095,20,"VALID",303791,"VALID",6.5,"VALID",6.6,"VALID",1,17,"VALID",293881,"VALID",5.1,"UNRELIABLE",5.8,"UNRELIABLE",1
"1807","INDIANA","Marion County, Indiana",18097,69,"VALID",1445929,"VALID",5.2,"VALID",4.8,"VALID",1,85,"VALID",1466250,"VALID",6.1,"VALID",5.8,"VALID",1
"1825","INDIANA","Marshall County, Indiana",18099,4,"VALID",96986,"VALID",4,"UNRELIABLE",4.1,"UNRELIABLE",1,1,"VALID",100896,"VALID",0.8,"UNRELIABLE",1,"UNRELIABLE",1
"1836","INDIANA","Martin County, Indiana",18101,1,"VALID",26872,"VALID",3.7,"UNRELIABLE",3.7,"UNRELIABLE",1,4,"VALID",26330,"VALID",14,"UNRELIABLE",15.2,"UNRELIABLE",1
"1889","INDIANA","Miami County, Indiana",18103,2,"VALID",91640,"VALID",2.5,"UNRELIABLE",2.2,"UNRELIABLE",1,3,"VALID",88442,"VALID",3.5,"UNRELIABLE",3.4,"UNRELIABLE",1
"1939","INDIANA","Monroe County, Indiana",18105,8,"VALID",236798,"VALID",5.2,"UNRELIABLE",3.4,"UNRELIABLE",1,4,"VALID",240936,"VALID",2.4,"UNRELIABLE",1.7,"UNRELIABLE",1
"1959","INDIANA","Montgomery County, Indiana",18107,3,"VALID",86117,"VALID",3.5,"UNRELIABLE",3.5,"UNRELIABLE",1,3,"VALID",84667,"VALID",3.2,"UNRELIABLE",3.5,"UNRELIABLE",1
"1986","INDIANA","Morgan County, Indiana",18109,9,"VALID",129640,"VALID",7.9,"UNRELIABLE",6.9,"UNRELIABLE",1,6,"VALID",133235,"VALID",5,"UNRELIABLE",4.5,"UNRELIABLE",1
"2050","INDIANA","Newton County, Indiana",18111,5,"VALID",35460,"VALID",14,"UNRELIABLE",14.1,"UNRELIABLE",1,2,"VALID",33356,"VALID",5.5,"UNRELIABLE",6,"UNRELIABLE",1
"2061","INDIANA","Noble County, Indiana",18113,5,"VALID",86363,"VALID",5.9,"UNRELIABLE",5.8,"UNRELIABLE",1,2,"VALID",90714,"VALID",2.4,"UNRELIABLE",2.2,"UNRELIABLE",1
"2096","INDIANA","Ohio County, Indiana",18115,0,"VALID",12484,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,0,"VALID",12775,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"2120","INDIANA","Orange County, Indiana",18117,3,"VALID",44857,"VALID",6.3,"UNRELIABLE",6.7,"UNRELIABLE",1,4,"VALID",44651,"VALID",6.7,"UNRELIABLE",9,"UNRELIABLE",1
"2154","INDIANA","Owen County, Indiana",18119,1,"VALID",39105,"VALID",2.5,"UNRELIABLE",2.6,"UNRELIABLE",1,3,"VALID",40379,"VALID",6.4,"UNRELIABLE",7.4,"UNRELIABLE",1
"2173","INDIANA","Parke County, Indiana",18121,3,"VALID",40241,"VALID",6.3,"UNRELIABLE",7.5,"UNRELIABLE",1,3,"VALID",37657,"VALID",5.8,"UNRELIABLE",8,"UNRELIABLE",1
"2207","INDIANA","Perry County, Indiana",18123,3,"VALID",47400,"VALID",5.4,"UNRELIABLE",6.3,"UNRELIABLE",1,6,"VALID",47305,"VALID",10,"UNRELIABLE",12.7,"UNRELIABLE",1
"2241","INDIANA","Pike County, Indiana",18125,1,"VALID",32308,"VALID",1.9,"UNRELIABLE",3.1,"UNRELIABLE",1,2,"VALID",31435,"VALID",5.6,"UNRELIABLE",6.4,"UNRELIABLE",1
"2292","INDIANA","Porter County, Indiana",18127,8,"VALID",296974,"VALID",3.5,"UNRELIABLE",2.7,"UNRELIABLE",1,16,"VALID",300062,"VALID",6.8,"UNRELIABLE",5.3,"UNRELIABLE",1
"2294","INDIANA","Posey County, Indiana",18129,4,"VALID",64510,"VALID",6.5,"UNRELIABLE",6.2,"UNRELIABLE",1,4,"VALID",63798,"VALID",6.2,"UNRELIABLE",6.3,"UNRELIABLE",1
"2326","INDIANA","Pulaski County, Indiana",18131,2,"VALID",32208,"VALID",5,"UNRELIABLE",6.2,"UNRELIABLE",1,1,"VALID",31377,"VALID",2.6,"UNRELIABLE",3.2,"UNRELIABLE",1
"2334","INDIANA","Putnam County, Indiana",18133,2,"VALID",71342,"VALID",2.8,"UNRELIABLE",2.8,"UNRELIABLE",1,8,"VALID",71879,"VALID",11.1,"UNRELIABLE",11.1,"UNRELIABLE",1
"2358","INDIANA","Randolph County, Indiana",18135,11,"VALID",70673,"VALID",14.4,"UNRELIABLE",15.6,"UNRELIABLE",1,5,"VALID",67051,"VALID",6.7,"UNRELIABLE",7.5,"UNRELIABLE",1
"2406","INDIANA","Ripley County, Indiana",18137,7,"VALID",59650,"VALID",10.5,"UNRELIABLE",11.7,"UNRELIABLE",1,5,"VALID",59249,"VALID",7.7,"UNRELIABLE",8.4,"UNRELIABLE",1
"2446","INDIANA","Rush County, Indiana",18139,3,"VALID",46034,"VALID",6.8,"UNRELIABLE",6.5,"UNRELIABLE",1,2,"VALID",43540,"VALID",4.9,"UNRELIABLE",4.6,"UNRELIABLE",1
"2479","INDIANA","Saint Joseph County, Indiana",18141,31,"VALID",523069,"VALID",5.5,"VALID",5.9,"VALID",1,41,"VALID",524530,"VALID",6.9,"VALID",7.8,"VALID",1
"2552","INDIANA","Scott County, Indiana",18143,2,"VALID",50092,"VALID",4.3,"UNRELIABLE",4,"UNRELIABLE",1,7,"VALID",50441,"VALID",15,"UNRELIABLE",13.9,"UNRELIABLE",1
"2590","INDIANA","Shelby County, Indiana",18145,5,"VALID",95639,"VALID",5.4,"UNRELIABLE",5.2,"UNRELIABLE",1,11,"VALID",95852,"VALID",11.5,"UNRELIABLE",11.5,"UNRELIABLE",1
"2641","INDIANA","Spencer County, Indiana",18147,3,"VALID",49499,"VALID",5.6,"UNRELIABLE",6.1,"UNRELIABLE",1,1,"VALID",48735,"VALID",2,"UNRELIABLE",2.1,"UNRELIABLE",1
"2656","INDIANA","Starke County, Indiana",18149,8,"VALID",52826,"VALID",14.1,"UNRELIABLE",15.1,"UNRELIABLE",1,2,"VALID",53430,"VALID",3.6,"UNRELIABLE",3.7,"UNRELIABLE",1
"2667","INDIANA","Steuben County, Indiana",18151,3,"VALID",61374,"VALID",5,"UNRELIABLE",4.9,"UNRELIABLE",1,2,"VALID",65322,"VALID",3.1,"UNRELIABLE",3.1,"UNRELIABLE",1
"2689","INDIANA","Sullivan County, Indiana",18153,7,"VALID",49085,"VALID",11.6,"UNRELIABLE",14.3,"UNRELIABLE",1,3,"VALID",46415,"VALID",5.7,"UNRELIABLE",6.5,"UNRELIABLE",1
"2721","INDIANA","Switzerland County, Indiana",18155,0,"VALID",17838,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,1,"VALID",18265,"VALID",4.3,"UNRELIABLE",5.5,"UNRELIABLE",1
"2770","INDIANA","Tippecanoe County, Indiana",18157,11,"VALID",300069,"VALID",5.3,"UNRELIABLE",3.7,"UNRELIABLE",1,17,"VALID",304902,"VALID",7.6,"UNRELIABLE",5.6,"UNRELIABLE",1
"2771","INDIANA","Tipton County, Indiana",18159,0,"VALID",39860,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,2,"VALID",39171,"VALID",4.6,"UNRELIABLE",5.1,"UNRELIABLE",1
"2827","INDIANA","Union County, Indiana",18161,2,"VALID",16702,"VALID",11.2,"UNRELIABLE",12,"UNRELIABLE",1,0,"VALID",16853,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"2857","INDIANA","Vanderburgh County, Indiana",18163,16,"VALID",363303,"VALID",4,"UNRELIABLE",4.4,"UNRELIABLE",1,32,"VALID",359873,"VALID",7.7,"VALID",8.9,"VALID",1
"2864","INDIANA","Vermillion County, Indiana",18165,1,"VALID",42938,"VALID",1.7,"UNRELIABLE",2.3,"UNRELIABLE",1,7,"VALID",40781,"VALID",12.4,"UNRELIABLE",17.2,"UNRELIABLE",1
